Band,Song,Player,Technique,Difficulty,Score
End The Sorrow,The Hate Within,nan,"['Distortion Guitar', 'Lukas Guitar']",Intermediate,5/8
Tomaco,KnuckleDuster,Track 2,['Distortion Guitar'],Beginner,2/8
Unk,unt,nan,['Electric Guitar (clean)'],Beginner,2/8
Silverstein,It's Over,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Limbezz,new rif demo,Track 4,['Distortion Guitar'],Beginner,2/8
Pathaway,The Force Of The Mountains,nan,['Distortion Guitar 2'],Intermediate,4/8
Silverstein,The Afterglow,nan,"['Overdriven Guitar', 'Lead Guitar 1']",Beginner,2/8
Judson,Defeat,nan,['Distortion Guitar 1'],Beginner,2/8
Brooke,On Thin Ice,Track 5,['Distortion Guitar'],Beginner,2/8
Menel,cleanoza,Utwór 1,['Electric Guitar (jazz)'],Beginner,1/8
Trautenberk,Lunt,Kytara,['Distortion Guitar'],Beginner,2/8
Austin's Song Stems,Lead Guitar Intro,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Austin's Song Stems,Rhythm Guitar Intro,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,4/8
Pathaway,The Beginning Of The End,nan,"['Acoustic Guitar (steel) 2', 'Distortion Guitar']",Beginner,2/8
Efe Karatoprak,Hardcore Song #24,nan,['Distortion Guitar'],Beginner,2/8
The Meow Love,Untitled 01,Distortion 1,['Distortion Guitar'],Beginner,2/8
Misery Signals,Ebb and Flow - TAB,nan,['Distortion Guitar'],Intermediate,4/8
Crush 40,I'm... All Of Me,nan,"['Distortion Guitar 1', 'Rhythm Guitar']",Beginner,2/8
Efe Karatoprak,şarkı 1,nan,['Distortion Guitar'],Beginner,2/8
Method To Madness,Magenta,nan,['Distortion Guitar'],Intermediate,3/8
Sykofreak,Heroin,Name,['Distortion Guitar'],Intermediate,4/8
Stone Wings,Concert Opener,Lead,['Distortion Guitar'],Beginner,2/8
Phinehas,Thorns,nan,['Distortion Guitar 1'],Intermediate,4/8
Concept Album,Empty,nan,['Distortion Guitar 1'],Intermediate,4/8
August Burns Red,Leveler v2,nan,"['Distortion Guitar', 'Lead Guitar 1']",Beginner,2/8
August Burns Red,Boys Of Fall,nan,"['Distortion Guitar', 'Extra Guitar 2']",Beginner,2/8
Menel,br00tal def,Utwór 3,['Distortion Guitar'],Intermediate,5/8
Decharot,Primordial Soup,Jeremi Tran (Lead),['Electric Guitar (clean)'],Beginner,2/8
August Burns Red,Meddler,nan,"['Distortion Guitar', 'Lead Guitar 1']",Intermediate,4/8
August Burns Red,Spirit Breaker,nan,"['Electric Guitar (jazz)', 'Rhythm Guitar 1']",Intermediate,3/8
August Burns Red,Cutting the Ties,nan,"['Distortion Guitar', 'Lead Guitar 1']",Intermediate,5/8
End The Sorrow,As a Bullet,nan,"['Distortion Guitar', 'Luke Lead Guitar']",Intermediate,5/8
Ben Mason - Riff Demos,Locrian,nan,['Distortion Guitar 2'],Intermediate,4/8
Static Dress,Di-Sinter,nan,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
Whatever,Demo №0.5,Максик,['Distortion Guitar'],Beginner,2/8
Unnamed,Song 3,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Seven Deadly Sins,Lost,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,4/8
Saint Asonia,Bite the Bullet,Rythm,['Distortion Guitar'],Beginner,2/8
Royal Blood,Typhoons,nan,['Distortion Guitar'],Intermediate,3/8
Saint Asonia,So What,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Warhound,Heaven Help Us,nan,['Distortion Guitar 2'],Intermediate,3/8
Rom,Coffee,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Fit For A King,Skin & Bones,nan,['Electric Guitar (jazz)'],Intermediate,3/8
Lim,N_i_g_h_t_m_a_r_e,nan,['Distortion Guitar 1'],Intermediate,3/8
Warhound,All I Hate,nan,['Distortion Guitar 3'],Advanced,7/8
Lithium,Dive,Tom W. (Rhythm),['Distortion Guitar'],Intermediate,3/8
Lithium,Pesticide,Tom W. (Rhythm 1),['Distortion Guitar'],Beginner,2/8
Lithium,Makeout Face,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,I Say I'm Happy But Really I'm Not,Tom,['Distortion Guitar'],Intermediate,3/8
Lithium,Ever So,Tom,['Guitar harmonics'],Beginner,2/8
Lithium,Plain,Tom,['Distortion Guitar'],Intermediate,3/8
Jonathan Petrucelli,Song 2,nan,"['Distortion Guitar', 'Lead Guitar 2']",Intermediate,3/8
Disturbed,Hey You,Lead,['Distortion Guitar'],Intermediate,3/8
Electriccover,NGD,nan,['Distortion Guitar'],Advanced,8/8
Lithium,Lack Of Calcium,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Dirt Life,Tom,['Distortion Guitar'],Beginner,2/8
Lim,Stay_With_Me,N,['Electric Guitar (jazz)'],Beginner,2/8
Orion,V,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
F.A.R,Revolution,nan,"['Acoustic Guitar (steel)', 'Overdriven Guitar ']",Beginner,2/8
Orion,V,nan,"['Electric Guitar (jazz)', 'Lead Guitar']",Beginner,2/8
Misc Unsigned Bands - Mild Stallion,Mr. Brighside cover,nan,"['Electric Guitar (clean)', 'Guitar 1']",Beginner,2/8
Galneryus,Brutal Spiral of Emotions,Lead 1,['Distortion Guitar'],Advanced,6/8
Urban Reign,Chinatown Welcome,nan,"['Overdriven Guitar', 'Guitar 1']",Intermediate,4/8
Shredagge,MySpace Emo,Harmony,['Distortion Guitar'],Intermediate,4/8
"Kano Yume, Maboroshi",Zigzag,nan,['Distortion Guitar'],Intermediate,3/8
Its Always You,Daisy,nan,"['Overdriven Guitar', 'Lead Guitar']",Beginner,2/8
Kapn1232,kapn4848,GTR_ACU,['Acoustic Guitar (steel)'],Beginner,2/8
Jonathan Petrucelli,song,nan,"['Distortion Guitar', 'Drop C# Guitar 2']",Intermediate,3/8
Its Always You,Shock Collar,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Staind,Wannabe,Higher octave rhythm,['Distortion Guitar'],Beginner,2/8
Its Always You,Falling Off our Seats,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Its Always You,Making Music for Toxic Men,nan,"['Electric Guitar (jazz)', 'Clean Rhythm Guitar']",Beginner,2/8
Watermetal,там в названии про рифф и барабанщика 2,Mike Shinoda,['Distortion Guitar'],Beginner,2/8
Almost Down,this song,Murilo,['Overdriven Guitar'],Beginner,2/8
Almost Down,the words,Gustavo,['Electric Guitar (jazz)'],Beginner,2/8
Shredagge,Primordial Undying,Track 2,['Distortion Guitar'],Beginner,2/8
Shredagge,Ember,nan,['Distortion Guitar'],Beginner,2/8
Shredagge,Nowhere To Run,Lead (Right),['Distortion Guitar'],Intermediate,4/8
I Prevail,Body Bag,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Wulfgar,Blood Of Kvasir,nan,"['Distortion Guitar', 'Guitar III']",Intermediate,5/8
Red Vox,Choking on the Spite,Vinny (Rhythm),['Overdriven Guitar'],Beginner,2/8
Wyatt Pusey Wip,Meme School,nan,"['Acoustic Guitar (steel)', '12-String Guitar Root']",Beginner,2/8
030722,22,nan,['Distortion Guitar'],Beginner,2/8
Nirvana,Heart Shaped Box - Single Guitar,nan,"['Electric Guitar (clean)', 'Guitar']",Intermediate,3/8
Movements,Full Circle,Track 2,['Overdriven Guitar'],Beginner,2/8
Shredagge,From Me To You,Track 2,['Distortion Guitar'],Beginner,2/8
Dasdasdasd,asdasdasdasd,Utwór 1,['Overdriven Guitar'],Beginner,2/8
Masaki,Speed,nan,['Distortion Guitar 1'],Intermediate,3/8
Self Kill,Sarcophagus witch,nan,"['Distortion Guitar', 'Electric Guitar 1']",Advanced,8/8
Magnolia Park,Serious,Tristan ,['Distortion Guitar'],Beginner,2/8
Blank Signs,Black and Green,nan,['Distortion Guitar 4'],Intermediate,3/8
Blank Signs,One Of You,nan,['Distortion Guitar'],Beginner,2/8
Relentless Flood,Echoes,nan,"['Distortion Guitar', 'Overdriven Guitar']",Beginner,2/8
Aaron Maassen,Daylight,nan,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
For All I Want,Tu Reflejo en el Espejo,Pista 3,['Distortion Guitar'],Beginner,2/8
Jupiter,Iolite ver2,HIZAKI,['Distortion Guitar'],Beginner,2/8
Good Charlotte,Lifestyles of the Rich and Famous,Rhythm,['Overdriven Guitar'],Beginner,2/8
Ministry,Animosity,nan,['Distortion Guitar'],Beginner,2/8
Mawinswag,an,nan,['Distortion Guitar'],Beginner,2/8
Chris's Music,R1,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,4/8
Nirvana,On A Plain,nan,"['Distortion Guitar', 'Distortion Guitar 1']",Intermediate,3/8
Nirvana,Blew,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Nirvana,Stain,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Nirvana,I Hate Myself And Want To Die,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Zigzag,subaru,nan,['Distortion Guitar'],Intermediate,3/8
Rise Against,This Time It's Personal,nan,"['Distortion Guitar', 'Guitar 4']",Intermediate,3/8
Bkmz,hueta2,nan,['Distortion Guitar 1'],Intermediate,3/8
Konomi Suzuki,Absolute Duo,Lead,['Distortion Guitar'],Intermediate,3/8
Staind,Not Again,nan,['Distortion Guitar 1'],Intermediate,3/8
Deftones,Bumble D,Stephen 1,['Distortion Guitar'],Beginner,2/8
Idioty,The Last Limit,nan,"['Distortion Guitar', 'Rhytm Guitar']",Intermediate,3/8
Deftones,Crenshaw Punch,Stephen,['Distortion Guitar 1'],Beginner,2/8
100 Gecs,Stupid Horse,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Simple Plan,Ruin My Life,nan,"['Distortion Guitar', 'Distortion Guitar 1']",Intermediate,3/8
Inclination,when fear turns to confidence,R electric,['Distortion Guitar'],Intermediate,3/8
Reality Spill,Guillermo,Harmony,['Distortion Guitar'],Intermediate,3/8
Warhound,Poor Little Me,nan,['Distortion Guitar 1'],Intermediate,3/8
Alex,Post grunge appreciation,nan,['Distortion Guitar'],Intermediate,3/8
Warhound,LoveSong,nan,['Distortion Guitar 1'],Beginner,2/8
Band-Maid,the non-fiction days,nan,"['Distortion Guitar', 'E. Guitar 3']",Intermediate,3/8
Man With A Mission,Dog days,nan,['Distortion Guitar'],Intermediate,3/8
Myth & Roid,Hydra,nan,"['Distortion Guitar', 'Left Guitar']",Intermediate,3/8
Idioty,Time Of The World,nan,['Distortion Guitar 1'],Beginner,2/8
Hate The Thought,Misplaced,nan,"['Electric Guitar (clean)', 'Clean Guitar (Zack)']",Beginner,2/8
Hate The Thought,Floral,nan,"['Electric Guitar (clean)', 'Clean Guitar (Zack)']",Intermediate,3/8
Dark Matter,fireflies practice,nan,['Distortion Guitar 2'],Intermediate,4/8
Der Weg Einer Freiheit,Ein Letzter Tanz,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Creatures Of Furkahn,Lavender,Distortion Sol,['Distortion Guitar'],Intermediate,3/8
Weywot,"pisa, the leaning tower of",nan,['Distortion Guitar'],Intermediate,3/8
Magnolia Park,Kids Like Us,Clean Rythem,['Electric Guitar (clean)'],Intermediate,3/8
Skillet,Hero,nan,"['Overdriven Guitar', 'Guitar 02']",Intermediate,3/8
Warhound,Break My Heart,nan,"['Electric Guitar (clean) 3', 'Clean Guitar']",Intermediate,3/8
Jorn,I Know There's Something Going On,nan,"['Overdriven Guitar', 'Rhythm Guitar']",Intermediate,3/8
Harakiri For The Sky,"Fire, Walk With Me",nan,['Distortion Guitar'],Intermediate,3/8
Portrayal Of Guilt,Touched By An Angel,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
A Cool Guy,lk,Shade,['Distortion Guitar'],Intermediate,3/8
Black Veil Brides,The Legacy,nan,"['Electric Guitar (jazz)', 'Guitar 3']",Intermediate,3/8
Winterstone,Otherside,Tristan,['Electric Guitar (clean)'],Intermediate,3/8
Meme School,PUSSY!,nan,"['Acoustic Guitar (steel)', '12-String Guitar Root']",Intermediate,4/8
Bayless,Game Over,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Warhound,Hopeless child,Rythm Center,['Distortion Guitar'],Intermediate,3/8
Nirvana,Scentless Apprentice,nan,"['Distortion Guitar', 'Rythm Guitar']",Intermediate,4/8
King's X,Groove Machine,nan,"['Distortion Guitar', 'Guitar Solo']",Advanced,6/8
Idioty,Remember To Forget,Rythm,['Distortion Guitar'],Intermediate,4/8
Kurb,Mx solo,nan,['Distortion Guitar'],Advanced,7/8
O-Яangeя,"10,000 Men",Mustafa “Weyn” Abdullahi,['Electric Guitar (clean)'],Intermediate,3/8
Warhound,Gunsling,nan,['Distortion Guitar 1'],Intermediate,3/8
Under Dead Skin,Fucken Slav,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
04052022,I am going to shout at you because I am under a lot of stress right now,nan,['Distortion Guitar 2'],Intermediate,3/8
Mental Fog,Built Like Yield Sign,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Devil Cross,Easier To Run,Queen E,"['Lead Guitar (Distortion)', 'Overdriven Guitar']",Intermediate,3/8
Winterstone,Luna,nan,"['Distortion Guitar', 'Distortion Guitar 2']",Beginner,2/8
Technicolour Blind,Electric Blue,nan,['Electric Guitar (jazz)'],Intermediate,3/8
Technicolour Blind,Georgia,nan,['Electric Guitar (clean)'],Intermediate,3/8
Technicolour Blind,Allusion,nan,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Technicolour Blind,After The Comedown,nan,['Distortion Guitar'],Intermediate,3/8
Technicolour Blind,Tar,nan,['Overdriven Guitar'],Intermediate,3/8
Warhound,The Sleep,nan,['Distortion Guitar 2'],Intermediate,4/8
Taking Back Sunday,What's it Feel Like to be a Ghost?,nan,['Distortion Guitar'],Intermediate,3/8
Limp Bizkit,Rollin',Rhythm G.,['Distortion Guitar'],Intermediate,3/8
Limp Bizkit,My Way,nan,['Distortion Guitar'],Intermediate,3/8
Winterstone,Illusive,nan,['Distortion Guitar 1'],Intermediate,4/8
Alice in Chains,Them Bones,Jerry Cantrell (Rhythm),['Distortion Guitar'],Intermediate,3/8
System of a Down,Lonely Day,Daron,"['Solo Guitar 5', 'Electric Guitar (clean)']",Advanced,8/8
Linkin Park,Faint,nan,"['Distortion Guitar', 'Mike Shinoda (Rhythm Guitar)']",Intermediate,3/8
Band-Maid,Moratorium,nan,['Distortion Guitar'],Intermediate,4/8
Animosity,Grey Skies,nan,['Distortion Guitar'],Intermediate,3/8
Staind,Home,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Velo-Conspiracy,Double Dog Dare,nan,"['Distortion Guitar', 'Mufti Muhammad- Lead Guitar']",Intermediate,3/8
The Meow Love,Nonsense,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
D Dixon,In Mentem Ascendit,rhythm,['Distortion Guitar'],Intermediate,3/8
Burnout Syndromes,Teikyu Koushinkyoku,MIDI3,['Distortion Guitar'],Intermediate,3/8
Don't Leave Me,Blast,nan,"['Distortion Guitar', 'rythm and lead guitar']",Intermediate,3/8
Quixöte,El Caballero Del Infierno,Solo ,['Distortion Guitar'],Intermediate,5/8
The Warning,Copper Bullets,nan,"['Distortion Guitar', 'Daniela Villarreal (Main Guitar)']",Beginner,2/8
Devil Cross,Breaking the Habit,nan,"['Electric Guitar (clean)', 'Ethan Mayor (Guitar)']",Intermediate,3/8
Asparagus Beats,Self-Titled Intro,nan,['Distortion Guitar 1'],Advanced,8/8
Asparagus Beats,No Way,nan,"['Distortion Guitar', 'Sharif Malik- Rhythm Guitar']",Intermediate,4/8
Staind,Four Walls,nan,['Distortion Guitar'],Intermediate,3/8
Anthony Cezarino,internal wounds,nan,['Distortion Guitar'],Intermediate,3/8
Asparagus Beats,Molten Ice,nan,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,3/8
Bkmz,rednecks,nan,['Distortion Guitar 1'],Intermediate,3/8
Reality Spill,Jacque,nan,['Distortion Guitar 2'],Intermediate,3/8
Winterstone,My Fall,nan,['Distortion Guitar'],Intermediate,4/8
Crimson Shiva,Period,nan,['Distortion Guitar'],Intermediate,3/8
Xepher,Kijin kyou,nan,['Distortion Guitar'],Intermediate,3/8
Drumastermunch,Rushing,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Of Mice & Men,The Ballad Of Tommy Clayton And The Rawdawg Millionaire,nan,['Distortion Guitar 2'],Intermediate,3/8
Deaf Election,Good for Too Long,Rythm,['Distortion Guitar'],Intermediate,3/8
Ebf,p1,nan,"['Distortion Guitar 2', 'Electric Guitar']",Advanced,8/8
Ebf,pr3,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Sdaw,dwawd,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
E.B.F.,project3,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
E.B.F.,p3,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Sasquatch,Let It In,nan,"['Distortion Guitar', 'Intro Guitar']",Intermediate,3/8
Sasquatch,The Judge,Keith Gibbs (Rhythm),['Distortion Guitar'],Intermediate,3/8
Jonathan,Nu Metal 1,nan,['Electric Guitar (clean)'],Intermediate,3/8
Trifasica,hin,chucha,['Distortion Guitar'],Intermediate,3/8
Coheed And Cambria,A Window Of The Waking Mind: II The Awakening,Logic Dictates Travis,['Distortion Guitar'],Beginner,2/8
Luche.,Rhythmical Day's,nan,['Distortion Guitar'],Beginner,2/8
Mayu Maeshima,story,nan,['Distortion Guitar'],Beginner,2/8
Nomada,sexta,Pista 1,['Distortion Guitar'],Intermediate,3/8
Deftones,Teething,guitar [Stef Carpenter,['Distortion Guitar'],Intermediate,3/8
My Anarchist Angel,aaaaaaaaaaaaaaaaaaaaaaaaaaaaa que miedo,nan,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,3/8
Falling In Reverse,ZOMBIFIED  [Drop D],nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Me,Betrayed Solo,nan,"['Distortion Guitar', 'Dist. Guitar 2']",Beginner,2/8
Charlie Company,Anti-Social?,nan,"['Distortion Guitar', 'Extra Guitar']",Intermediate,4/8
Almost Down,the almost,delay lead,['Overdriven Guitar'],Intermediate,4/8
Chris's Music,not my song btw,nan,"['Distortion Guitar', 'Electric Guitar']",Beginner,2/8
Bathory,One Rode To Asa Bay,nan,"['Acoustic Guitar (steel)', 'Quorthon Acoustic Guitar']",Beginner,2/8
Three Days Grace,Break,Rhythm,['Distortion Guitar'],Beginner,2/8
Limbezz,NEW RIFF DEMO,Track 7,['Distortion Guitar'],Beginner,2/8
Transcend Time,Dreamchaser,Slavik Acoustic,['Acoustic Guitar (steel)'],Intermediate,4/8
Madlu,Song 29,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Billy Talent,I Beg To Differ,nan,"['Overdriven Guitar', 'Intro Guitar']",Intermediate,3/8
Riff`S Example,Metalcore/Melodic Death 5-7-8 Riffs,nan,['Distortion Guitar'],Intermediate,5/8
Red Museum,Squentin Frownalot,nan,['Acoustic Guitar (steel)'],Intermediate,5/8
Confession Session,lamenting over...,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Unleash The Archers,Awakening,Lead,['Distortion Guitar'],Advanced,6/8
Hehe,huhu,Track 2,['Distortion Guitar'],Beginner,2/8
Madlu,Song 23,nan,"['Electric Guitar (clean)', 'Lead Guitar']",Beginner,2/8
Ultimatum,Harcos,nan,"['Distortion Guitar', 'Rythm Guitar']",Beginner,2/8
Bench Players,Run Away,nan,['Overdriven Guitar'],Beginner,2/8
Bench Players,Goodbye This Fucking Year,nan,"['Acoustic Guitar (steel)', 'Rhytm Guitar (Andrei)']",Beginner,2/8
Bench Players,Goodbye This Fucking Year,nan,"['Distortion Guitar', 'Rhytm Guitar (Andrei)']",Intermediate,3/8
Karna,Party На Прикарпаттi,nan,['Distortion Guitar'],Intermediate,3/8
F.A.R,Song 4,nan,['Distortion Guitar 1'],Beginner,2/8
Shredagge,Midnight Secrets,nan,['Distortion Guitar'],Intermediate,3/8
Transcend Time,Shadow Within,nan,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
All Of Them Witches,natsu_shiba,nan,"['Distortion Guitar 1', 'E.Guitar']",Beginner,2/8
And So I Watch You From Afar,The Endless Shimmering,Niall Kennedy_disto,['Distortion Guitar'],Intermediate,4/8
Shredagge,Nothing Is Eternal,nan,['Distortion Guitar'],Beginner,2/8
Okilly Dokilly,More Animal Than Flan,nan,['Distortion Guitar'],Beginner,2/8
Cum Laudes,Viking Song,nan,['Distortion Guitar 1'],Beginner,2/8
Greenskeepers,Lotion,nan,['Overdriven Guitar'],Beginner,2/8
Mis Kcaj,Radio Killer,nan,"['Acoustic Guitar (steel)', '12 St. Steel Guitar']",Beginner,2/8
Mis Kcaj,They won't have Sympathy for Me,nan,"['Distortion Guitar 2', 'Overdrive Guitar']",Beginner,2/8
Mis Kcaj,What it's like being the most hated person in the Room,nan,['Overdriven Guitar'],Beginner,1/8
Mis Kcaj,The Pain Of Empty Pain,nan,"['Acoustic Guitar (steel) 2', '12 St. Steel Guitar']",Beginner,2/8
Shig,tw'bf'br,nan,['Distortion Guitar'],Advanced,8/8
Martin Sames,Everyone of your friends hate me,nan,['Overdriven Guitar 2'],Intermediate,3/8
Mental Five,For Whom the Bell Tolls,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Jonathan,Thrash 1,nan,['Distortion Guitar 1'],Intermediate,3/8
Loksmith,Invisible Cages,nan,"['Distortion Guitar', 'Harmony Guitar (William Witten)']",Intermediate,3/8
Trinity Seven,Seven Doors,nan,['Distortion Guitar'],Beginner,2/8
Division Minuscula,Muriendo en un simulacro,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Stain,Heinze,Moritz Luhn,['Distortion Guitar'],Beginner,2/8
Me,Random Solo Fourteen,nan,['Distortion Guitar 2'],Intermediate,3/8
Confession Session,Red Pill,nan,['Distortion Guitar'],Beginner,2/8
Fast Animals And Slow Kids,Montana,nan,['Distortion Guitar'],Beginner,2/8
Capsicum,Pieces of You,nan,['Distortion Guitar'],Intermediate,3/8
030722,spook,nan,['Distortion Guitar'],Intermediate,3/8
Radics Peti,Egy Szerelmes Dal...,Rythm Guttar,['Distortion Guitar'],Intermediate,5/8
Arc Systems Works,What Do You Fight For,nan,['Distortion Guitar'],Intermediate,5/8
Concept Album,Passion,nan,['Distortion Guitar 2'],Beginner,2/8
Vermin,Lucky You,nan,['Distortion Guitar 1'],Beginner,2/8
Sematary,Bleed A River,nan,['Distortion Guitar'],Beginner,2/8
Csakos1337,phas,nan,"['Electric Guitar (clean)', 'Clean Guitar']",Advanced,8/8
Csakos1337,kakuszi difficulties,nan,['Distortion Guitar 1'],Beginner,2/8
Csakos1337,ikarus buszjárat,nan,['Distortion Guitar 2'],Intermediate,3/8
Sematary,Heffalumps,nan,['Distortion Guitar'],Beginner,1/8
Sematary,Deer God,nan,['Distortion Guitar'],Beginner,2/8
Shade Of Envy,New pop punk song,Lead,['Overdriven Guitar'],Beginner,2/8
Sematary,Creepin' Thru Da Woods,nan,['Distortion Guitar'],Beginner,2/8
Csakos1337,hajléktalan szálló,solo,['Distortion Guitar'],Intermediate,4/8
Tomplic,no,Track 3,['Distortion Guitar'],Intermediate,3/8
Arc Systems Works,Find your one way,nan,['Distortion Guitar'],Intermediate,4/8
